Manual Annotation,,,,
LINK - ,https://youtu.be/8OwDdko5tgk?si=yES1UQBlNaUUYOCu,,,
START ,2.16,,,
END ,11.36,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,2.22,2.22,FORWARD,1
PASS_CATCH,2.22,2.22,ON_GROUND,1
PASS_THROW,2.33,2.33,FORWARD,2
PASS_CATCH,2.34,2.34,ON_GROUND,2
TACKLE_DIVE,2.34,2.35,RIGHT,2
PASS_THROW,2.48,2.49,FORWARD,3
PASS_CATCH,2.5,2.5,IN_AIR,3
PASS_THROW,3.02,3.02,FORWARD,1
PASS_CATCH,3.03,3.03,IN_AIR,1
TACKLE_BIG_HIT,3.17,3.18,,2
PASS_THROW,3.29,3.3,FORWARD,3
TACKLE_BIG_HIT,3.33,3.35,,3
PASS_THROW,3.44,3.44,FORWARD,1
PASS_THROW,3.56,3.56,FORWARD,2
PASS_CATCH,3.56,3.56,ON_GROUND,2
TACKLE_DIVE,4.11,4.12,RIGHT,3
PASS_THROW,4.36,4.36,FORWARD,1
PASS_CATCH,4.36,4.37,IN_AIR,1
TACKLE_DIVE,4.38,4.38,RIGHT,1
PASS_THROW,4.5,4.51,FORWARD,2
PASS_CATCH,4.51,4.51,,2
PASS_THROW,5.02,5.02,FORWARD,1
PASS_CATCH,5.02,5.03,ON_GROUND,1
TACKLE_BIG_HIT,5.03,5.04,LEFT,1
PASS_THROW,5.28,5.28,FORWARD,3
PASS_CATCH,5.29,5.29,ON_GROUND,3
TACKLE_DIVE,5.29,5.3,FORWARD,3
PASS_THROW,5.42,5.42,FORWARD,1
PASS_CATCH,5.42,5.43,ON_GROUND,1
TACKLE_DIVE,5.44,5.45,LEFT,1
PASS_THROW,6.18,6.18,FORWARD,3
STIFF_ARM,6.39,6.39,LEFT,4
PASS_THROW,6.51,6.51,FORWARD,1
PASS_CATCH,6.51,6.52,,1
PASS_THROW,7.06,7.06,FORWARD,2
PASS_CATCH,7.07,7.08,ON_GROUND,2
PASS_THROW,7.45,7.45,FORWARD,1
TACKLE_DIVE,7.48,7.49,RIGHT,1
PASS_THROW,8.01,8.01,FORWARD,1
PASS_CATCH,8.02,8.02,ON_GROUND,1
PASS_THROW,8.13,8.13,FORWARD,1
PASS_CATCH,8.13,8.14,ON_GROUND,1
TACKLE_DIVE,8.3,8.31,,
JUKE,8.38,8.39,LEFT,
TACKLE_DIVE,8.41,8.42,LEFT,
PASS_THROW,8.51,8.51,FORWARD,1
PASS_THROW,9.02,9.03,FORWARD,2
PASS_CATCH,9.03,9.04,IN_AIR,2
SPIN,9.04,9.05,RIGHT,2
PASS_THROW,9.16,9.16,FORWARD,3
PASS_CATCH,9.16,9.17,IN_AIR,3
TACKLE_BIG_HIT,9.17,9.18,RIGHT,3
PASS_THROW,9.27,9.27,FORWARD,1
PASS_CATCH,9.27,9.28,IN_AIR,1
PASS_THROW,9.55,9.55,FORWARD,1
PASS_CATCH,9.55,9.56,IN_AIR,1
TACKLE_DIVE,9.57,9.58,,1
SPIN,10.42,10.43,LEFT,
SPIN,10.46,10.47,LEFT,
PASS_THROW,10.57,10.57,FORWARD,1
PASS_CATCH,10.57,10.58,IN_AIR,1
TACKLE_DIVE,10.58,10.59,RIGHT,1
PASS_THROW,11.09,11.09,FORWARD,2
PASS_THROW,11.31,11.32,FORWARD,
PASS_CATCH,11.32,11.32,IN_AIR,
