Manual Annotation,,,,
LINK - ,https://youtu.be/05BEfW52TCU?si=BPnRLOgLfLtN6lwt,,,
START ,0.39,,,
END ,19.07,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.42,0.42,FORWARD,1
TACKLE_DIVE,0.42,0.43,LEFT,1
PASS_THROW,1,1,FORWARD,2
TACKLE_BIG_HIT,1.17,1.2,,3
TACKLE_DIVE,2.08,2.1,RIGHT,4
PASS_THROW,2.18,2.19,FORWARD,1
PASS_CATCH,2.19,2.19,IN_AIR,1
PASS_THROW,2.31,2.31,FORWARD,2
PASS_CATCH,2.31,2.32,IN_AIR,2
TACKLE_DIVE,2.43,2.44,RIGHT,3
TACKLE_BIG_HIT,3.17,3.18,RIGHT,1
TACKLE_DIVE,3.29,3.29,RIGHT,2
JUKE,3.49,3.49,RIGHT,4
TACKLE_DIVE,4,4.01,LEFT,1
PASS_THROW,4.5,4.51,,1
PASS_CATCH,4.51,4.52,ON_GROUND,1
PASS_THROW,4.52,4.52,FORWARD,1
PASS_CATCH,4.52,4.53,IN_AIR,1
PASS_THROW,5.04,5.04,FORWARD,2
PASS_CATCH,5.04,5.05,IN_AIR,2
TACKLE_BIG_HIT,5.16,5.17,,3
TACKLE_BIG_HIT,5.49,5.5,,1
TACKLE_BIG_HIT,6.01,6.03,RIGHT,2
PASS_THROW,6.13,6.13,FORWARD,1
PASS_CATCH,6.13,6.14,IN_AIR,1
TACKLE_DIVE,6.27,6.28,FORWARD,2
PASS_THROW,7.18,7.18,FORWARD,1
PASS_THROW,7.3,7.31,FORWARD,2
TACKLE_BIG_HIT,7.34,7.35,RIGHT,2
PASS_THROW,7.45,7.45,FORWARD,1
TACKLE_DIVE,7.59,8,,1
PASS_THROW,8.11,8.11,FORWARD,2
PASS_CATCH,8.11,8.12,IN_AIR,2
PASS_THROW,8.25,8.26,FORWARD,3
PASS_CATCH,8.26,8.27,ON_GROUND,3
PASS_THROW,8.38,8.39,FORWARD,1
PASS_CATCH,8.39,8.39,IN_AIR,1
TACKLE_DIVE,8.4,8.41,LEFT,1
PASS_THROW,8.51,8.51,FORWARD,2
PASS_THROW,9.05,9.05,FORWARD,3
PASS_CATCH,9.05,9.06,IN_AIR,3
TACKLE_BIG_HIT,10.01,10.03,,1
PASS_THROW,10.11,10.12,FORWARD,2
PASS_CATCH,10.12,10.13,IN_AIR,2
PASS_THROW,10.24,10.24,FORWARD,3
PASS_CATCH,10.25,10.25,IN_AIR,3
TACKLE_DIVE,10.36,10.38,,1
TACKLE_DIVE,10.48,10.49,LEFT,2
PASS_THROW,11.02,11.02,FORWARD,3
PASS_CATCH,11.02,11.03,ON_GROUND,3
SPIN,11.03,11.04,LEFT,3
TACKLE_DIVE,11.04,11.05,FORWARD,3
TACKLE_BIG_HIT,11.42,11.43,RIGHT,1
TACKLE_DIVE,11.51,11.52,RIGHT,2
TACKLE_DIVE,12.54,12.56,LEFT,1
PASS_THROW,13.06,13.06,FORWARD,2
PASS_CATCH,13.07,13.08,IN_AIR,2
TACKLE_DIVE,13.08,13.08,RIGHT,2
TACKLE_BIG_HIT,13.41,13.42,LEFT,4
JUKE,13.59,14,RIGHT,1
TACKLE_DIVE,14.12,14.14,LEFT,2
TACKLE_BIG_HIT,14.26,14.28,LEFT,3
TACKLE_BIG_HIT,14.4,14.41,,4
TACKLE_DIVE,14.51,14.52,LEFT,1
TACKLE_DIVE,15.05,15.06,LEFT,2
TACKLE_DIVE,15.16,15.17,LEFT,3
TACKLE_DIVE,15.57,15.58,RIGHT,1
PASS_THROW,16.09,16.1,FORWARD,2
PASS_THROW,16.22,16.22,FORWARD,3
SPIN,16.34,16.35,LEFT,4
TACKLE_DIVE,16.47,16.48,RIGHT,1
TACKLE_DIVE,16.58,16.59,RIGHT,2
TACKLE_DIVE,17.08,17.1,RIGHT,3
SPIN,17.55,17.55,,
SPIN,17.55,17.56,LEFT,
PASS_THROW,18.07,18.08,FORWARD,1
PASS_CATCH,18.08,18.09,ON_GROUND,1
PASS_THROW,18.09,18.09,FORWARD,1
PASS_CATCH,18.09,18.1,ON_GROUND,1
SPIN,18.11,18.12,LEFT,1
TACKLE_DIVE,18.12,18.13,RIGHT,1
TACKLE_BIG_HIT,18.33,18.34,RIGHT,3
PASS_THROW,18.43,18.44,FORWARD,4
TACKLE_BIG_HIT,18.57,18.59,LEFT,1
