Manual Annotation,,,,
LINK - ,https://youtu.be/WSFIpXwWAyg?si=XtCI_H5fB9kjFAWk,,,
START ,0.17,,,
END ,18.4,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.39,0.39,FORWARD,1
PASS_CATCH,0.39,0.39,ON_GROUND,1
TACKLE_BIG_HIT,0.39,0.4,,1
TACKLE_BIG_HIT,0.53,0.55,,2
SPIN,1.44,1.44,LEFT,
STIFF_ARM,1.45,1.45,LEFT,
PASS_THROW,1.58,1.58,FORWARD,1
PASS_CATCH,1.58,1.59,IN_AIR,1
PASS_THROW,2.1,2.1,FORWARD,2
PASS_THROW,2.22,2.22,FORWARD,3
PASS_CATCH,2.23,2.23,IN_AIR,3
PASS_THROW,2.34,2.34,FORWARD,1
PASS_CATCH,2.35,2.35,ON_GROUND,1
PASS_THROW,2.35,2.36,FORWARD,1
PASS_CATCH,2.36,2.37,ON_GROUND,1
TACKLE_DIVE,2.47,2.48,LEFT,2
PASS_THROW,2.56,2.57,FORWARD,3
PASS_CATCH,2.57,2.57,IN_AIR,3
PASS_THROW,3.33,3.33,FORWARD,1
PASS_CATCH,3.33,3.34,IN_AIR,1
PASS_THROW,3.43,3.43,FORWARD,2
PASS_CATCH,3.43,3.44,IN_AIR,2
PASS_THROW,3.53,3.53,FORWARD,3
PASS_CATCH,3.53,3.54,IN_AIR,3
TACKLE_DIVE,4.02,4.04,RIGHT,1
TACKLE_BIG_HIT,4.51,4.53,RIGHT,
PASS_THROW,5.11,5.12,RIGHT,1
PASS_CATCH,5.12,5.13,ON_GROUND,1
PASS_THROW,5.13,5.14,FORWARD,1
PASS_CATCH,5.14,5.15,ON_GROUND,1
TACKLE_BIG_HIT,5.15,5.16,,1
PASS_THROW,5.24,5.25,FORWARD,1
PASS_CATCH,5.25,5.25,ON_GROUND,1
TACKLE_BIG_HIT,5.25,5.27,,1
JUKE,5.37,5.37,RIGHT,2
TACKLE_BIG_HIT,5.53,5.54,LEFT,
TACKLE_DIVE,6.06,6.07,LEFT,1
PASS_THROW,6.18,6.18,FORWARD,2
PASS_CATCH,6.18,6.19,IN_AIR,2
TACKLE_DIVE,6.3,6.31,RIGHT,1
PASS_THROW,6.57,6.57,FORWARD,1
PASS_CATCH,6.58,6.58,IN_AIR,1
TACKLE_BIG_HIT,6.59,6.59,FORWARD,1
TACKLE_BIG_HIT,7.12,7.13,,2
PASS_THROW,7.22,7.22,FORWARD,3
PASS_THROW,7.48,7.48,FORWARD,1
PASS_CATCH,7.48,7.48,IN_AIR,1
PASS_THROW,7.57,7.58,FORWARD,2
TACKLE_BIG_HIT,8.11,8.12,,3
SPIN,8.46,8.47,LEFT,
PASS_THROW,9,9,FORWARD,1
PASS_CATCH,9.01,9.01,ON_GROUND,1
PASS_THROW,9.12,9.12,FORWARD,2
PASS_THROW,9.25,9.25,FORWARD,3
PASS_THROW,9.38,9.38,FORWARD,1
TACKLE_DIVE,9.42,9.43,LEFT,1
PASS_THROW,10.15,10.15,FORWARD,1
PASS_CATCH,10.16,10.16,ON_GROUND,1
TACKLE_BIG_HIT,10.16,10.17,RIGHT,1
TACKLE_DIVE,10.27,10.28,RIGHT,2
PASS_THROW,10.38,10.38,FORWARD,3
PASS_CATCH,10.38,10.39,IN_AIR,3
PASS_THROW,10.5,10.5,FORWARD,1
TACKLE_BIG_HIT,10.53,10.55,,1
TACKLE_BIG_HIT,11.06,11.08,,1
PASS_THROW,11.35,11.35,FORWARD,3
TACKLE_DIVE,11.35,11.36,RIGHT,3
PASS_THROW,11.47,11.48,FORWARD,1
PASS_CATCH,11.48,11.48,ON_GROUND,1
TACKLE_BIG_HIT,11.49,11.5,LEFT,1
TACKLE_DIVE,11.58,11.59,RIGHT,2
PASS_THROW,12.22,12.23,FORWARD,
PASS_CATCH,12.23,12.23,IN_AIR,
JUKE,12.31,12.32,RIGHT,
SPIN,12.32,12.33,LEFT,
PASS_THROW,12.44,12.45,FORWARD,1
PASS_THROW,12.57,12.57,FORWARD,2
PASS_CATCH,12.58,12.59,ON_GROUND,2
TACKLE_DIVE,12.59,12.59,,2
PASS_THROW,13.1,13.1,FORWARD,3
PASS_CATCH,13.1,13.11,IN_AIR,3
TACKLE_BIG_HIT,13.11,13.12,,3
PASS_THROW,13.22,13.22,FORWARD,1
PASS_THROW,13.36,13.37,FORWARD,1
PASS_CATCH,13.37,13.37,IN_AIR,1
PASS_THROW,13.57,13.57,FORWARD,2
PASS_THROW,14.1,14.1,FORWARD,3
PASS_CATCH,14.1,14.1,ON_GROUND,3
TACKLE_BIG_HIT,14.11,14.13,RIGHT,3
TACKLE_DIVE,14.23,14.24,LEFT,1
TACKLE_BIG_HIT,14.36,14.37,LEFT,2
PASS_THROW,14.46,14.47,FORWARD,3
TACKLE_DIVE,14.58,14.59,RIGHT,4
PASS_THROW,15.08,15.08,FORWARD,1
PASS_CATCH,15.08,15.08,IN_AIR,1
SPIN,15.09,15.09,LEFT,1
SPIN,15.1,15.1,LEFT,1
PASS_THROW,15.31,15.32,FORWARD,3
PASS_CATCH,15.32,15.32,ON_GROUND,3
TACKLE_DIVE,15.32,15.33,RIGHT,3
PASS_THROW,15.44,15.44,FORWARD,1
PASS_CATCH,15.45,15.45,IN_AIR,1
SPIN,15.45,15.46,LEFT,1
TACKLE_BIG_HIT,15.47,15.48,FORWARD,1
TACKLE_DIVE,15.57,15.58,,1
PASS_THROW,16.08,16.08,FORWARD,2
PASS_CATCH,16.08,16.09,IN_AIR,2
TACKLE_DIVE,16.33,16.33,RIGHT,1
PASS_THROW,16.44,16.44,FORWARD,2
PASS_CATCH,16.45,16.45,IN_AIR,2
TACKLE_DIVE,16.45,16.46,LEFT,2
PASS_THROW,16.56,16.56,FORWARD,3
PASS_CATCH,16.57,16.57,ON_GROUND,3
PASS_THROW,17.08,17.09,FORWARD,4
PASS_CATCH,17.09,17.09,IN_AIR,4
TACKLE_BIG_HIT,17.09,17.1,LEFT,4
TACKLE_BIG_HIT,17.23,17.25,LEFT,1
TACKLE_DIVE,17.34,17.35,RIGHT,1
TACKLE_DIVE,17.44,17.46,RIGHT,2
TACKLE_DIVE,17.55,17.56,RIGHT,2
PASS_THROW,18.05,18.06,FORWARD,1
PASS_CATCH,18.06,18.06,IN_AIR,1
TACKLE_BIG_HIT,18.2,18.2,LEFT,
PASS_THROW,18.3,18.3,FORWARD,1
