Manual Annotation,,,,
LINK -, https://youtu.be/Eqe8xlnANAQ?si=_1mnbzu1ZAiNyKJz,,,
START 1.24  ,Hours Spent -, 1HR 38 MINS,,
END 11.24,,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
WALL_MOVE,1.3,1.33,RIGHT,1
PASS_THROW,1.32,1.33,ON_WALL,1
PASS_CATCH,1.33,1.34,ON_GROUND,1
SPIN,1.42,1.45,LEFT,1
PASS_THROW,1.54,1.55,FORWARD,2
PASS_CATCH,1.52,1.55,ON_GROUND,2
WALL_MOVE,1.55,1.57,RIGHT,2
 TACKLE_BIG_HIT,1.58,2,RIGHT,2
SPIN,2.06,2.07,RIGHT,1
WALL_MOVE,2.09,2.09,LEFT,1
PASS_THROW,2.09,2.11,ON_WALL,1
PASS_THROW,2.3,2.33,FORWARD,3
PASS_CATCH,2.3,2.33,ON_GROUND,3
SPIN,2.49,2.5,LEFT,2pt
STIFF_ARM,2.5,2.51,RIGHT,2pt
WALL_MOVE,2.54,2.55,LEFT,2pt
STIFF_ARM,3.15,3.16,RIGHT,2
PASS_THROW,3.29,3.3,FORWARD,1
WALL_MOVE,3.3,3.31,LEFT,1
PASS_CATCH,3.31,3.31,ON_AIR,1
TACKLE_DIVE,3.32,3.33,FORWARD,1
PASS_THROW,3.42,3.42,FORWARD,2pt
PASS_CATCH,3.42,3.42,ON_GROUND,2pt
TACKLE_DIVE,3.57,3.58,LEFT,1
PASS_THROW,4.09,4.11,FORWARD,2
PASS_CATCH,4.09,4.11,ON_GROUND,2
STIFF_ARM,4.12,4.12,LEFT,2
WALL_MOVE,4.13,4.14,RIGHT,2
TACKLE_BIG_HIT,4.14,4.15,RIGHT,2
SPIN,4.36,4.37,RIGHT,2
TACKLE_DIVE,4.39,4.4,LEFT,2
TACKLE_BIG_HIT,4.44,4.46,FORWARD,2
JUKE,4.54,4.55,RIGHT,1
TACKLE_DIVE,4.55,4.56,RIGHT,1
TACKLE_DIVE,5.04,5.05,LEFT,2
TACKLE_BIG_HIT,5.06,5.07,LEFT,2
TACKLE_DIVE,5.15,5.16,LEFT,3
PASS_THROW,5.16,5.18,FORWARD,3
PASS_CATCH,5.18,5.19,ON_AIR,3
TACKLE_BIG_HIT,5.2,5.21,LEFT,3
PASS_THROW,5.28,5.28,FORWARD,1
PASS_CATCH,5.28,5.29,ON_GROUND,1
TACKLE_DIVE,5.29,5.3,"LEFT,RIGHT BOTH",1
SPIN,5.36,5.36,RIGHT,2
SPIN,5.47,5.48, RIGHT,2pt
PASS_THROW,5.49,5.49,FORWARD,2pt
WALL_MOVE,5.5,5.51,RIGHT,2pt
PASS_CATCH,5.51,5.51,ON_AIR,2pt
SPIN,6.03,6.04,RIGHT,1
JUKE,6.04,6.04,LEFT,1
PASS_THROW,6.05,6.05,FORWARD,1
PASS_CATCH,6.05,6.05,ON_GROUND,1
TACKLE_BIG_HIT,6.06,6.06,RIGHT,1
SPIN,6.18,6.18,LEFT,2
JUKE,6.19,6.19,RIGHT,2
TACKLE_DIVE,6.2,6.2,FORWARD,2
PASS_THROW,6.35,6.36,FORWARD,1
WALL_MOVE,6.35,6.36,RIGHT,1
TACKLE_DIVE,6.37,6.38,LEFT,1
PASS_CATCH,6.37,6.38,ON_AIR,1
WALL_MOVE,6.38,6.39,LEFT,1
PASS_THROW,6.47,6.47,FORWARD,2pt
PASS_THROW,7,7,FORWARD,1
PASS_CATCH,7.01,7.01,ON_AIR,1
TACKLE_BIG_HIT,7.01,7.01,FORWARD,1
TACKLE_DIVE,7.03,7.03,RIGHT,1
PASS_THROW,7.22,7.22,FORWARD,2
PASS_CATCH,7.23,7.23,ON_GROUND,2
PASS_THROW,7.4,7.4,FORWARD,3
JUKE,7.52,7.52,LEFT,4
DIVE,7.52,7.53,RIGHT,4
STIFF_ARM,8.11,8.11,RIGHT,2
WALL_MOVE,8.21,8.21,RIGHT,2pt
PASS_THROW,8.21,8.21,FORWARD,2pt
TACKLE_DIVE,8.56,8.56,RIGHT,2pt
JUKE,9.08,9.09,LEFT,1
TACKLE_DIVE,9.11,9.12,FORWARD,1
TACKLE_BIG_HIT,9.23,9.23,LEFT,1
PASS_THROW,9.37,9.37,FORWARD,2
TACKLE_BIG_HIT,9.4,9.41,FORWARD,2
TACKLE_BIG_HIT,9.52,9.54,,3
PASS_THROW,10.06,10.06,FORWARD,4
PASS_CATCH,10.07,10.07,ON_GROUND,4
PASS_THROW,10.2,10.2,FORWARD,1
PASS_CATCH,10.21,10.21,ON_GROUND,1
TACKLE_DIVE,10.22,10.23,,1
PASS_THROW,10.49,10.5,FORWARD,2
PASS_CATCH,10.5,10.5,ON_GROUND,2
HURDLE,10.51,10.52,IN_AIR,2
JUKE,11.03,11.03,LEFT,1
PASS_THROW,11.12,11.13,FORWARD,1
PASS_CATCH,11.13,11.13,ON_GROUND,1
PASS_THROW,11.23,11.23,FORWARD,1
