Manual Annotation,,,,
LINK - ,https://youtu.be/4sfqKu8BRGc?si=X8AMh21sNWUrt5XP,,,
START ,0.33,,,
END ,13.48,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.37,0.37,FORWARD,1
PASS_CATCH,0.38,0.38,IN_AIR,1
TACKLE_BIG_HIT,0.38,0.4,RIGHT,1
PASS_THROW,0.47,0.47,FORWARD,1
PASS_CATCH,0.48,0.48,ON_GROUND,1
TACKLE_BIG_HIT,0.5,0.52,LEFT,1
PASS_THROW,0.59,0.59,FORWARD,1
PASS_CATCH,1,1,ON_GROUND,1
PASS_THROW,1.12,1.13,FORWARD,2
PASS_CATCH,1.13,1.13,ON_GROUND,2
WALL_MOVE,1.14,1.15,RIGHT,2
PASS_THROW,1.29,1.29,FORWARD,2pt
PASS_CATCH,1.3,1.3,ON_GROUND,2pt
TACKLE_WRAP,2.01,2.03,LEFT,2
TACKLE_DIVE,2.15,2.16,RIGHT,3
PASS_THROW,2.34,2.34,FORWARD,4
PASS_CATCH,2.37,2.37,IN_AIR,4
PASS_THROW,3.14,3.15,FORWARD,1
PASS_CATCH,3.15,3.16,ON_GROUND,1
PASS_THROW,3.26,3.26,FORWARD,2
PASS_THROW,3.55,3.56,FORWARD,1
PASS_CATCH,3.56,3.56,ON_GROUND,1
TACKLE_BIG_HIT,3.57,3.59,RIGHT,1
TACKLE_WRAP,4.04,4.06,,1
PASS_THROW,4.13,4.14,FORWARD,1
PASS_CATCH,4.14,4.14,ON_GROUND,1
TACKLE_DIVE,4.14,4.15,LEFT,1
TACKLE_DIVE,4.23,4.24,LEFT,1
TACKLE_BIG_HIT,4.31,4.33,,3
TACKLE_BIG_HIT,4.39,4.41,RIGHT,3
TACKLE_DIVE,4.49,4.49,LEFT,4
PASS_THROW,4.58,4.58,FORWARD,2pt
PASS_THROW,5.1,5.11,FORWARD,1
TACKLE_BIG_HIT,5.24,5.26,,2
TACKLE_DIVE,5.37,5.38,LEFT,3
PASS_THROW,5.5,5.5,FORWARD,4
PASS_CATCH,5.51,5.52,IN_AIR,4
PASS_THROW,6.05,6.06,FORWARD,1
PASS_CATCH,6.07,6.07,IN_AIR,1
TACKLE_DIVE,6.08,6.09,FORWARD,1
JUKE,6.24,6.25,RIGHT,1pt
STIFF_ARM,6.25,6.26,LEFT,1pt
PASS_THROW,6.35,6.36,FORWARD,1
PASS_THROW,6.52,6.52,FORWARD,2
WALL_MOVE,7.01,7.02,LEFT,3
TACKLE_BIG_HIT,7.02,7.04,LEFT,3
PASS_THROW,7.23,7.24,FORWARD,1
PASS_CATCH,7.24,7.25,ON_GROUND,1
PASS_THROW,7.33,7.34,FORWARD,1
PASS_CATCH,7.34,7.35,ON_GROUND,1
PASS_THROW,7.53,7.54,FORWARD,2pt
SPIN,8.06,8.06,RIGHT,1
PASS_THROW,8.19,8.19,FORWARD,2
PASS_CATCH,8.2,8.21,ON_GROUND,2
PASS_THROW,8.33,8.34,FORWARD,1
PASS_CATCH,8.34,8.35,IN_AIR,1
PASS_THROW,8.47,8.48,FORWARD,1
PASS_CATCH,8.5,8.52,IN_AIR,1
PASS_THROW,9.06,9.07,FORWARD,1
PASS_THROW,9.17,9.18,FORWARD,2
PASS_CATCH,9.18,9.19,ON_GROUND,2
PASS_THROW,9.28,9.28,FORWARD,1
PASS_CATCH,9.29,9.3,ON_WALL,1
TACKLE_DIVE,9.4,9.41,LEFT,1
PASS_THROW,9.48,9.48,FORWARD,1
PASS_CATCH,9.49,9.5,ON_GROUND,1
WALL_MOVE,9.5,9.51,RIGHT,1
TACKLE_BIG_HIT,9.59,10,LEFT,2
TACKLE_BIG_HIT,10.16,10.19,,4
PASS_THROW,10.32,10.32,FORWARD,1
PASS_CATCH,10.33,10.33,ON_GROUND,1
WALL_MOVE,10.34,10.35,RIGHT,1
PASS_THROW,10.48,10.49,FORWARD,1
PASS_THROW,11.13,11.14,FORWARD,3
PASS_THROW,11.24,11.24,FORWARD,1
PASS_CATCH,11.25,11.25,ON_GROUND,1
TACKLE_BIG_HIT,11.26,11.27,,1
PASS_THROW,11.53,11.53,FORWARD,3
PASS_CATCH,11.54,11.54,ON_GROUND,3
PASS_THROW,12.09,12.09,FORWARD,2pt
PASS_CATCH,12.1,12.11,IN_AIR,2pt
TACKLE_BIG_HIT,12.11,12.11,RIGHT,2pt
PASS_THROW,13.41,13.41,FORWARD,1
PASS_CATCH,13.42,13.44,IN_AIR,1
