Manual Annotation,,,,
LINK - ,https://youtu.be/UAK9Pv9PnlQ?si=rADR2oM490SknS_8,,,
START ,3.39,,,
END ,19.24,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
STIFF_ARM,3.58,3.59,RIGHT,1
TACKLE_BIG_HIT,4.15,4.19,,3
PASS_THROW,4.33,4.33,FORWARD,3
PASS_CATCH,4.34,4.35,IN_AIR,3
TACKLE_BIG_HIT,4.35,4.36,RIGHT,3
PASS_THROW,5.09,5.11,FORWARD,2
PASS_CATCH,5.11,5.11,IN_AIR,2
TACKLE_BIG_HIT,5.12,5.15,LEFT,1
PASS_THROW,5.26,5.26,FORWARD,1
PASS_CATCH,5.27,5.27,ON_GROUND,1
PASS_THROW,5.42,5.43,FORWARD,2
PASS_THROW,6.01,6.02,FORWARD,1
PASS_THROW,6.3,6.31,FORWARD,3
PASS_CATCH,6.31,6.32,ON_GROUND,3
PASS_THROW,6.54,6.54,FORWARD,2pt
PASS_CATCH,6.55,6.55,ON_GROUND,2pt
PASS_THROW,7.08,7.09,FORWARD,1
PASS_CATCH,7.09,7.09,ON_GROUND,1
TACKLE_BIG_HIT,7.1,7.12,RIGHT,1
PASS_THROW,7.26,7.26,FORWARD,1
PASS_CATCH,7.26,7.28,ON_GROUND,1
PASS_THROW,7.44,7.44,FORWARD,1
TACKLE_BIG_HIT,8.03,8.04,,2
PASS_THROW,8.45,8.45,FORWARD,4
PASS_CATCH,8.46,8.46,ON_GROUND,4
PASS_THROW,9.16,9.17,FORWARD,1
PASS_CATCH,9.17,9.17,ON_GROUND,1
TACKLE_BIG_HIT,9.18,9.19,RIGHT,1
TACKLE_BIG_HIT,9.33,9.36,LEFT,1
PASS_THROW,9.49,9.49,FORWARD,2
PASS_CATCH,9.5,9.51,IN_AIR,2
PASS_THROW,10.12,10.12,FORWARD,2pt
PASS_THROW,10.53,10.54,FORWARD,2
PASS_THROW,11.32,11.32,FORWARD,4
PASS_CATCH,11.32,11.33,ON_GROUND,4
TACKLE_DIVE,11.33,11.35,LEFT,4
TACKLE_DIVE,12.25,12.26,RIGHT,2
TACKLE_DIVE,12.29,12.3,LEFT,2
TACKLE_BIG_HIT,12.44,12.46,,1
TACKLE_BIG_HIT,13.25,13.26,,1pt
TACKLE_BIG_HIT,14.44,14.46,,2
TACKLE_BIG_HIT,15.29,15.3,,4
PASS_THROW,16.01,16.03,FORWARD,1
PASS_THROW,16.39,16.39,FORWARD,1
PASS_CATCH,16.39,16.4,ON_GROUND,1
TACKLE_DIVE,16.45,16.46,FORWARD,1
PASS_THROW,17.48,17.49,FORWARD,2
PASS_THROW,18.24,18.25,FORWARD,2
PASS_CATCH,18.25,18.26,ON_GROUND,2
PASS_THROW,18.55,18.55,FORWARD,1
PASS_CATCH,18.56,18.57,ON_GROUND,1
PASS_THROW,19.18,19.19,FORWARD,2pt
PASS_CATCH,19.2,19.21,ON_GROUND,2pt
