Manual Annotation,,,,
LINK - ,https://youtu.be/UPKAexQ5O_M?si=gpUiBShfM8T-Lbup,,,
START ,0.25,,,
END ,14.24,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.31,0.33,FORWARD,1
PASS_CATCH,0.33,0.33,ON_GROUND,1
TACKLE_BIG_HIT,0.34,0.36,RIGHT,1
TACKLE_DIVE,0.46,0.47,LEFT,2
PASS_THROW,0.55,0.55,FORWARD,3
PASS_CATCH,0.56,0.57,ON_WALL,3
PASS_THROW,1.09,1.09,FORWARD,1
PASS_CATCH,1.11,1.12,ON_WALL,1
TACKLE_BIG_HIT,1.21,1.23,LEFT,2
PASS_THROW,1.29,1.31,FORWARD,2
PASS_THROW,1.41,1.42,FORWARD,3
PASS_CATCH,1.43,1.44,IN_AIR,3
PASS_THROW,1.55,1.55,FORWARD,4
PASS_THROW,2.11,2.12,FORWARD,2pt
PASS_CATCH,2.12,2.13,IN_AIR,2pt
PASS_THROW,2.27,2.27,FORWARD,1
PASS_CATCH,2.28,2.29,IN_AIR,1
TACKLE_DIVE,2.46,2.46,FORWARD,1
PASS_THROW,3.04,3.05,FORWARD,1
PASS_CATCH,3.06,3.07,IN_AIR,1
PASS_THROW,3.19,3.2,FORWARD,1
PASS_THROW,3.35,3.35,FORWARD,2
PASS_CATCH,3.36,3.37,IN_AIR,2
TACKLE_BIG_HIT,3.37,3.39,,2
PASS_THROW,4,4,FORWARD,2
PASS_THROW,4.2,4.21,FORWARD,2pt
TACKLE_BIG_HIT,4.5,4.51,,2
PASS_THROW,5.08,5.1,FORWARD,1
TACKLE_DIVE,5.13,5.15,RIGHT,1
PASS_THROW,5.26,5.27,FORWARD,2pt
PASS_CATCH,5.27,5.29,IN_AIR,2pt
TACKLE_BIG_HIT,5.41,5.43,LEFT,1
PASS_THROW,6.28,6.29,FORWARD,1
PASS_CATCH,6.29,6.31,IN_AIR,1
PASS_THROW,7,7.01,FORWARD,2
PASS_CATCH,7.01,7.02,ON_GROUND,2
TACKLE_DIVE,7.02,7.03,,2
PASS_THROW,7.15,7.15,FORWARD,1
PASS_THROW,8.04,8.04,FORWARD,1
TACKLE_DIVE,8.22,8.24,LEFT,3
PASS_THROW,8.39,8.39,FORWARD,3
PASS_THROW,10.17,10.18,,1
PASS_THROW,10.41,10.42,FORWARD,2
PASS_CATCH,10.42,10.43,ON_GROUND,2
STIFF_ARM,10.54,10.55,LEFT,2pt
PASS_THROW,11.13,11.14,FORWARD,1
PASS_CATCH,11.15,11.16,ON_GROUND,1
PASS_THROW,11.26,11.26,FORWARD,1
PASS_THROW,11.43,11.43,FORWARD,2
PASS_THROW,11.56,11.57,FORWARD,3
PASS_CATCH,11.57,11.59,ON_WALL,3
PASS_THROW,12.12,12.12,FORWARD,1
PASS_THROW,12.25,12.25,FORWARD,2
WALL_MOVE,12.27,12.28,LEFT,2
SPIN,13.14,13.14,RIGHT,2
TACKLE_WRAP,13.29,13.3,LEFT,3
PASS_THROW,14.18,14.18,FORWARD,3
PASS_CATCH,14.19,14.2,IN_AIR,3
