Manual Annotation,,,,
LINK - ,https://youtu.be/mIkDIw7nuTU?si=xMz-j1h6kU97tJpw,,,
START ,0.28,,,
END ,10.02,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.36,0.37,FORWARD,1
PASS_THROW,0.55,0.56,FORWARD,1
PASS_THROW,1.12,1.12,FORWARD,2
PASS_CATCH,1.13,1.14,IN_AIR,2
TACKLE_BIG_HIT,1.32,1.33,LEFT,1
PASS_THROW,1.57,1.58,FORWARD,1
PASS_CATCH,1.58,1.59,IN_AIR,1
WALL_MOVE,2.02,2.03,RIGHT,1
PASS_THROW,2.18,2.18,FORWARD,2pt
PASS_CATCH,2.19,2.19,ON_GROUND,2pt
JUKE,2.35,2.35,RIGHT,1
STIFF_ARM,2.36,2.37,RIGHT,1
TACKLE_WRAP,3.17,3.2,LEFT,1
PASS_THROW,3.34,3.34,FORWARD,1
PASS_CATCH,3.35,3.36,IN_AIR,1
TACKLE_BIG_HIT,3.36,3.38,,1
TACKLE_BIG_HIT,3.5,3.51,,1
JUKE,4.06,4.07,RIGHT,2
PASS_THROW,4.21,4.21,FORWARD,3
PASS_CATCH,4.22,4.23,IN_AIR,3
PASS_THROW,4.34,4.34,FORWARD,1
PASS_CATCH,4.34,4.35,ON_GROUND,1
WALL_MOVE,4.4,4.41,RIGHT,1
PASS_THROW,4.48,4.48,FORWARD,2pt
PASS_THROW,5.01,5.02,FORWARD,1
PASS_CATCH,5.02,5.03,IN_AIR,1
PASS_THROW,5.15,5.16,FORWARD,1
PASS_CATCH,5.16,5.17,ON_GROUND,1
TACKLE_BIG_HIT,5.17,5.18,,1
PASS_THROW,5.41,5.41,FORWARD,2pt
PASS_THROW,5.52,5.53,FORWARD,1
PASS_THROW,6.3,6.31,FORWARD,1
TACKLE_DIVE,6.51,6.52,LEFT,1
TACKLE_DIVE,7.13,7.13,LEFT,1
PASS_THROW,7.25,7.25,FORWARD,2
PASS_THROW,7.36,7.37,FORWARD,3
PASS_CATCH,7.37,7.39,IN_AIR,3
TACKLE_DIVE,7.39,7.4,,3
PASS_THROW,8.02,8.03,FORWARD,2
PASS_CATCH,8.03,8.05,ON_GROUND,2
TACKLE_DIVE,8.06,8.07,,2
WALL_MOVE,8.08,8.09,RIGHT,2
PASS_THROW,8.41,8.41,FORWARD,3
PASS_CATCH,8.42,8.42,ON_GROUND,3
PASS_THROW,9.03,9.03,FORWARD,1
PASS_CATCH,9.03,9.04,ON_GROUND,1
PASS_THROW,9.16,9.16,FORWARD,1
PASS_THROW,9.32,9.32,FORWARD,2
PASS_CATCH,9.33,9.35,ON_WALL,2
PASS_THROW,9.5,9.5,FORWARD,1
PASS_CATCH,9.53,9.54,IN_AIR,1
JUKE,9.57,9.58,LEFT,1
WALL_MOVE,9.58,10,LEFT,1
