Manual Annotation,,,,
LINK - ,https://youtu.be/1DhPAUrDsKk?si=y35LS_xHIfM2QQew,,,
START 0.50,Hours Spent -,43 MINS,,
END 8.50,,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.56,0.56,FORWARD,1
PASS_CATCH,0.59,1,IN_AIR,1
HURDLE,1.01,1.01,IN_AIR,1
WALL_MOVE,1.11,1.12,LEFT,1
PASS_THROW,1.12,1.12,FORWARD,1
PASS_THROW,1.32,1.32,FORWARD,2pt
PASS_CATCH,1.33,1.33,ON_GROUND,2pt
WALL_MOVE,1.47,1.49,LEFT,1
PASS_THROW,2,2,FORWARD,1
PASS_CATCH,2,2,ON_GROUND,1
TACKLE_DIVE,2.01,2.01,FORWARD,1
STIFF_ARM,2.12,2.13,LEFT,1
WALL_MOVE,2.13,2.14,RIGHT,1
STIFF_ARM,2.33,2.34,RIGHT,1
TACKLE_BIG_HIT,2.36,2.39,LEFT,1
WALL_MOVE,2.5,2.51,LEFT,1
PASS_THROW,2.51,2.51,FORWARD,1
TACKLE_BIG_HIT,2.51,2.51,LEFT,1
PASS_THROW,3.01,3.01,FORWARD,2
WALL_MOVE,3.02,3.02,LEFT,2
PASS_CATCH,3.02,3.03,IN_AIR,2
WALL_MOVE,3.14,3.14,RIGHT,2pt
PASS_THROW,3.15,3.15,FORWARD,2pt
TACKLE_BIG_HIT,3.28,3.29,FORWARD,1
PASS_THROW,3.41,3.41,FORWARD,2
WALL_MOVE,3.43,3.45,RIGHT,2
PASS_CATCH,3.45,3.46,IN_AIR,2
TACKLE_BIG_HIT,3.47,3.48,,2
JUKE,3.57,3.58,LEFT,1
STIFF_ARM,4,4,RIGHT,1
TACKLE_DIVE,4.2,4.2,RIGHT,2
TACKLE_WRAP,4.28,4.29,FORWARD,3
PASS_THROW,4.39,4.4,FORWARD,4
PASS_CATCH,4.4,4.4,IN_AIR,4
JUKE,5.07,5.08,,1
PASS_THROW,5.08,5.08,FORWARD,1
PASS_CATCH,5.09,5.09,ON_GROUND,1
TACKLE_DIVE,5.1,5.1,FORWARD,1
PASS_THROW,5.39,5.39,FORWARD,1
WALL_MOVE,5.42,5.42,LEFT,1
PASS_THROW,5.57,5.57,FORWARD,2
PASS_THROW,6.06,6.07,FORWARD,1
WALL_MOVE,6.21,6.23,RIGHT,2
TACKLE_BIG_HIT,6.21,6.23,RIGHT,2
TACKLE_BIG_HIT,6.32,6.34,RIGHT,1
TACKLE_DIVE,6.4,6.41,RIGHT,2
PASS_THROW,6.52,6.53,FORWARD,3
WALL_MOVE,7.06,7.08,LEFT,4
PASS_THROW,7.22,7.22,FORWARD,2pt
PASS_CATCH,7.23,7.23,IN_AIR,2pt
SPIN,8.08,8.08,RIGHT,2
TACKLE_BIG_HIT,8.09,8.11,FORWARD,2
PASS_THROW,8.19,8.19,FORWARD,1
PASS_CATCH,8.22,8.22,IN_AIR,1
PASS_THROW,8.35,8.35,FORWARD,2pt
PASS_CATCH,8.36,8.36,ON_GROUND,2pt
TACKLE_DIVE,8.36,8.37,RIGHT,2pt
