Manual Annotation,,,,
LINK - ,https://youtu.be/kyRrqtZpHHU?si=WHNvRLta_wqNNIgo,,,
START 0.18,Hours Spent -,55 MINS,,
END 11.53,,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
SPIN,0.48,0.48,LEFT,3
TACKLE_DIVE,1.11,1.12,LEFT,4
PASS_THROW,1.37,1.37,FORWARD,2pt
PASS_CATCH,1.38,1.38,ON_GROUND,2pt
WALL_MOVE,2.07,2.08,LEFT,2
PASS_THROW,2.34,2.34,FORWARD,2
PASS_CATCH,2.36,2.37,ON_AIR,2
PASS_THROW,2.51,2.51,FORWARD,1
PASS_CATCH,2.52,2.52,ON_AIR,1
PASS_THROW,3.04,3.04,FORWARD,1
PASS_CATCH,3.04,3.04,ON_GROUND,1
WALL_MOVE,3.15,3.17,RIGHT,2pt
WALL_MOVE,3.47,3.47,LEFT,1
PASS_THROW,3.47,3.47,FORWARD,1
PASS_CATCH,3.49,3.49,ON_AIR,1
PASS_THROW,3.58,3.58,FORWARD,2pt
PASS_CATCH,3.59,3.59,ON_AIR,2pt
PASS_THROW,4.19,4.19,FORWARD,1
PASS_CATCH,4.2,4.2,ON_GROUND,1
TACKLE_WRAP,4.21,4.21,,1
TACKLE_BIG_HIT,4.21,4.22,RIGHT,1
HURDLE,4.33,4.33,IN_AIR,1
PASS_THROW,4.58,4.58,FORWARD,3
PASS_CATCH,4.59,5,ON_AIR,3
PASS_THROW,5.13,5.13,FORWARD,1
PASS_CATCH,5.14,5.14,ON_GROUND,1
PASS_THROW,5.41,5.41,FORWARD,1
PASS_CATCH,5.42,5.42,ON_AIR,1
TACKLE_DIVE,5.43,5.43,LEFT,1
JUKE,5.51,5.51,LEFT,1
STIFF_ARM,5.52,5.52,RIGHT,1
TACKLE_BIG_HIT,6.03,6.03,RIGHT,2
PASS_THROW,6.3,6.31,FORWARD,2
WALL_MOVE,6.35,6.36,RIGHT,2
PASS_THROW,6.53,6.54,FORWARD,2
PASS_CATCH,6.55,6.55,ON_GROUND,2
JUKE,6.55,6.56,LEFT,2
PASS_THROW,7.06,7.06,FORWARD,2pt
PASS_CATCH,7.07,7.07,ON_GROUND,2pt
TACKLE_DIVE,7.07,7.08,RIGHT,2pt
PASS_THROW,7.2,7.2,FORWARD,1
TACKLE_BIG_HIT,7.35,7.37,,2
PASS_THROW,7.46,7.46,FORWARD,3
PASS_THROW,8.14,8.14,FORWARD,1
PASS_CATCH,8.14,8.14,ON_GROUND,1
TACKLE_DIVE,8.29,8.3,LEFT,2
PASS_THROW,8.39,8.39,FORWARD,3
PASS_CATCH,8.4,8.4,ON_GROUND,3
PASS_THROW,8.52,8.53,FORWARD,4
PASS_THROW,9.05,9.05,FORWARD,1
PASS_THROW,9.21,9.21,FORWARD,2
PASS_CATCH,9.21,9.21,ON_GROUND,2
WALL_MOVE,9.4,9.4,RIGHT,1
PASS_THROW,9.4,9.4,FORWARD,1
PASS_CATCH,9.41,9.41,ON_AIR,1
TACKLE_BIG_HIT,9.58,9.59,,1
JUKE,10.09,10.1,RIGHT,2
PASS_THROW,10.26,10.26,FORWRD,3
PASS_CATCH,10.26,10.26,ON_GROUND,3
TACKLE_BIG_HIT,10.26,10.28,RIGHT,3
PASS_THROW,10.43,10.43,FORWARD,4
PASS_CATCH,10.44,10.44,ON_GROUND,4
TACKLE_BIG_HIT,10.57,10.57,RIGHT,1pt
JUKE,11.06,11.06,RIGHT,1
TACKLE_DIVE,11.16,11.16,RIGHT,2
PASS_THROW,11.24,11.24,FORWARD,3
PASS_CATCH,11.25,11.25,ON_GROUND,3
WALL_MOVE,11.28,11.29,RIGHT,3
PASS_THROW,11.37,11.37,FORWARD,1
PASS_CATCH,11.38,11.38,ON_GROUND,1
WALL_MOVE,11.41,11.41,LEFT,1
JUKE,11.43,11.43,RIGHT,1
