Manual Annotation,,,,
LINK - ,https://youtu.be/thUDBgNFQ5U?si=lojiqk0PiYfmvmz5,,,
START 1.23,Hours Spent -,22 MINS,,
END 6.26,,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
WALL_MOVE,1.28,1.29,LEFT,1
WALL_MOVE,1.31,1.31,LEFT,1
SPIN,1.42,1.42,RIGHT,1
PASS_THROW,1.43,1.44,FORWARD,1
PASS_CATCH,1.43,1.43,ON_GROUND,1
TACKLE_BIG_HIT,1.56,1.57,LEFT,1
TACKLE_DIVE,2.05,2.05,LEFT,2
WALL_MOVE,2.15,2.16,RIGHT,3
WALL_MOVE,2.42,2.42,LEFT,1
WALL_MOVE,2.43,2.43,LEFT,1
PASS_THROW,3.14,3.14,FORWARD,1
PASS_THROW,3.27,3.27,FORWARD,2
PASS_THROW,3.43,3.43,FORWARD,3
PASS_THROW,4.06,4.06,FORWARD,2
PASS_CATCH,4.07,4.07,ON_GROUND,2
PASS_THROW,4.21,4.21,FORWARD,1pt
PASS_CATCH,4.21,4.21,ON_GROUND,1pt
PASS_THROW,4.3,4.3,FORWARD,1
PASS_CATCH,4.31,4.31,ON_GROUND,1
JUKE,4.42,4.42,LEFT,2
PASS_THROW,4.42,4.42,FORWARD,2
TACKLE_BIG_HIT,4.43,4.44,LEFT,2
SPIN,4.51,4.52,RIGHT,3
PASS_THROW,4.52,4.52,FORWARD,3
PASS_CATCH,4.53,4.53,ON_GROUND,3
TACKLE_DIVE,4.55,4.55,FORWARD,3
SPIN,5.04,5.04,RIGHT,1
PASS_THROW,5.06,5.06,FORWARD,1
PASS_CATCH,5.07,5.07,ON_GROUND,1
TACKLE_BIG_HIT,5.07,5.08,FORWARD,1
WALL_MOVE,5.12,5.12,LEFT,1
WALL_MOVE,5.41,5.41,LEFT,2
TACKLE_DIVE,5.48,5.48,LEFT,3
SPIN,6.19,6.2,RIGHT,1
