Manual Annotation,,,,
LINK - ,https://youtu.be/mWkvL0-gCfE?si=ZURlGoMk8UyjrlZK,,,
START ,2.34,Hours Spent -,59 MINS 46 SECS,
END ,16.51,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
TACKLE_BIG_HIT,2.36,2.37,LEFT,1
TACKLE_BIG_HIT,2.47,2.47,RIGHT,2
SPIN,2.55,2.55,LEFT,2
PASS_THROW,2.56,2.56,FORWARD,2
PASS_CATCH,2.57,2.57,ON_GROUND,2
JUKE,3,3.01,LEFT,2
TACKLE_DIVE,3.01,3.01,LEFT,2
WALL_MOVE,3.09,3.09,LEFT,1
PASS_THROW,3.09,3.09,FOWARD,1
PASS_CATCH,3.1,3.1,ON_GROUND,1
 PASS_THROW,3.36,3.36,FORWARD,2pt
TACKLE_BIG_HIT,3.39,3.39,RIGHT,2pt
JUKE,3.57,3.57,RIGHT,2
WALL_MOVE,3.59,3.59,RIGHT,2
WALL_MOVE,4,4,RIGHT,2
TACKLE_BIG_HIT,4.09,4.12,RIGHT,2
PASS_THROW,4.19,4.19,FORWARD,1
PASS_CATCH,4.2,4.2,ON_GROUND,1
JUKE,4.2,4.2,RIGHT,1
PASS_THROW,4.28,4.28,FORWARD,1
PASS_CATCH,4.28,4.28,ON_GROUND,1
TACKLE_BIG_HIT,4.3,4.31,RIGHT,1
JUKE,4.37,4.37,RIGHT,2
PASS_THROW,4.53,4.53,FORWARD,2
TACKLE_DIVE,4.56,4.56,RIGHT,2
TACKLE_BIG_HIT,5,5,FORWARD,2
STIFF_ARM,5.12,5.13,RIGHT,2
JUKE,5.13,5.13,LEFT,2
TACKLE_WRAP,5.14,5.14,LEFT,2
TACKLE_DIVE,5.16,5.16,FORWARD,2
JUKE,5.45,5.45,LEFT,3
TACKLE_BIG_HIT,5.47,5.48,LEFT,3
PASS_THROW,5.52,5.53,LEFT,3
PASS_CATCH,5.53,5.53,ON_GROUND,3
JUKE,6.08,6.08,LEFT,1
JUKE,6.09,6.09,RIGHT,1
WALL_MOVE,6.58,6.58,LEFT,2
PASS_THROW,6.58,6.58,FORWARD,2
PASS_CATCH,7,7,ON_GROUND,2
TACKLE_DIVE,7.01,7.01,LEFT,2
WALL_MOVE,7.17,7.17, LEFT,4
PASS_THROW,7.17,7.17,FORWARD,4
HURDLE,7.24,7.24,IN_AIR,2
TACKLE_DIVE,7.25,7.25,FORWARD,2
PASS_THROW,7.32,7.32,FORWARD,2
PASS_CATCH,7.33,7.33,ON_GROUND,2
TACKLE_BIG_HIT,7.34,7.34,LEFT,2
PASS_THROW,7.48,7.48,FORWARD,1
SPIN,8.16,8.16,,1
PASS_THROW,8.23,8.23,FORWARD,1
PASS_CATCH,8.24,8.24,ON_AIR,1
PASS_THROW,8.37,8.37,FORWARD,1pt
PASS_CATCH,8.37,8.37,ON_GROUND,1pt
PASS_THROW,8.44,8.44,FORWARD,3
PASS_THROW,8.58,8.58,FORWARD,1
PASS_CATCH,8.58,8.58,ON_GROUND,1
WALL_MOVE,9.15,9.15,LEFT,1
PASS_THROW,9.15,9.16,FORWARD,1
PASS_CATCH,9.16,9.16,ON_GROUND,1
STIFF_ARM,9.38,9.38,LEFT,3
PASS_THROW,9.45,9.45,FORWARD,4
PASS_CATCH,9.45,9.45,ON_GROUND,4
WALL_MOVE,9.57,9.57,RIGHT,1
PASS_CATCH,9.57,9.57,FORWARD,1
WALL_MOVE,10.05,10.05,LEFT,2
PASS_THROW,10.06,10.06,FORWARD,2
PASS_THROW,10.13,10.13,FORWARD,1
STIFF_ARM,10.41,10.42,LEFT,1
WALL_MOVE,10.43,10.43,RIGHT,1
TACKLE_BIG_HIT,10.43,10.45,RIGHT,1
TACKLE_BIG_HIT,11.02,11.02,RIGHT,1
WALL_MOVE,11.1,11.1,LEFT,2
PASS_THROW,11.1,11.1,FORWARD,2
PASS_THROW,11.31,11.31,FORWARD,1
PASS_CATCH,11.32,11.32,ON_AIR,1
TACKLE_DIVE,11.39,11.39,RIGHT,1
PASS_THROW,12.02,12.02,FORWARD,2pt
PASS_CATCH,12.02,12.02,ON_GROUND,2pt
PASS_THROW,12.45,12.45,FORWARD,3
PASS_CATCH,12.46,12.47,ON_GROUND,3
PASS_THROW,12.58,12.58,FORWARD,2pt
PASS_THROW,13.05,13.05,FORWARD,1
WALL_MOVE,13.07,13.07,LEFT,1
PASS_CATCH,13.07,13.07,ON_AIR,1
SPIN,13.44,13.44,RIGHT,1
TACKLE_BIG_HIT,13.45,13.45,,1
TACKLE_BIG_HIT,14.18,14.2,RIGHT,1
JUKE,14.33,14.33,RIGHT,2
PASS_THROW,14.5,14.5,FORWARD,1
PASS_CATCH,14.5,14.5,ON_GROUND,1
WALL_MOVE,14.51,14.52,LEFT,1
TACKLE_DIVE,14.54,14.54,LEFT,1
JUKE,15.07,15.07,LEFT,1pt
STIFF_ARM,15.29,15.29,LEFT,1
PASS_THROW,15.45,15.45,FORWARD,2
WALL_MOVE,15.52,15.52,LEFT,3
PASS_THROW,15.52,15.53,FORWARD,3
PASS_THROW,16.17,16.17,FORWARD,1
PASS_CATCH,16.18,16.18,ON_GROUND,1
WALL_MOVE,16.32,16.32,LEFT,2
PASS_THROW,16.32,16.32,FORWARD,2
PASS_CATCH,16.33,16.33,ON_GROUND,2
TACKLE_DIVE,16.34,16.34,LEFT,2
PASS_THROW,16.5,16.5,FORWARD,2
PASS_CATCH,16.51,16.51,ON_GROUND,2
