Manual Annotation,,,,
LINK - ,https://youtu.be/IGA-BD64fXU?si=MclXW6X9I2BDhno0,,,
START ,0,Hours Spent -,33 mins,
END ,10.48,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.04,0.04,FORWARD,1
PASS_CATCH,0.04,0.04,ON_GROUND,1
TACKLE_BIG_HIT,0.05,0.06,,1
WALL_MOVE,0.14,0.14,LEFT,2
TACKLE_BIG_HIT,0.15,0.15,LEFT,2
WALL_MOVE,0.27,0.27,LEFT,3
PASS_THROW,0.38,0.38,FORWARD,1
PASS_THROW,0.52,0.52,FORWARD,2
PASS_CATCH,0.53,0.53,ON_AIR,2
WALL_MOVE,1.05,1.05,RIGHT,1
TACKLE_DIVE,1.05,1.05,RIGHT,1
WALL_MOVE,1.25,1.25,LEFT,1pt
PASS_THROW,1.37,1.37,FORWARD,1
PASS_CATCH,1.37,1.37,ON_GROUND,1
TACKLE_DIVE,1.39,1.39,LEFT,1
PASS_THROW,1.53,1.53,FORWARD,2
WALL_MOVE,1.55,1.55,LEFT,2
PASS_CATCH,1.56,1.56,ON_AIR,2
PASS_THROW,2.08,2.08,FORWARD,3
PASS_CATCH,2.1,2.1,ON_GROUND,3
WALL_MOVE,2.11,2.11,RIGHT,3
TACKLE_DIVE,2.39,2.39,RIGHT,2
PASS_THROW,2.51,2.51,FORWARD,3
PASS_CATCH,2.52,2.52,ON_GROUND,3
PASS_THROW,3.06,3.06,FORWARD,4
PASS_CATCH,3.07,3.07,ON_GROUND,4
PASS_THROW,3.4,3.4,FORWARD,3
PASS_CATCH,3.41,3.41,ON_GROUND,3
TACKLE_BIG_HIT,3.41,3.43,RIGHT,3
WALL_MOVE,3.52,3.52,RIGHT,1
PASS_THROW,4.04,4.04,FORWARD,1
PASS_CATCH,4.05,4.05,ON_GROUND,1
PASS_THROW,4.2,4.2,FORWARD,2pt
TACKLE_WRAP,4.52,4.52,FORWARD,2
PASS_THROW,5.37,5.37,FORWARD,1
PASS_CATCH,5.39,5.39,ON_GROUND,1
WALL_MOVE,5.49,5.5,LEFT,2
PASS_THROW,5.5,5.5,FORWARD,2
PASS_CATCH,5.51,5.51,ON_GROUND,2
WALL_MOVE,6.03,6.03,LEFT,3
PASS_THROW,6.24,6.24,FORWARD,1
PASS_CATCH,6.26,6.26,ON_AIR,1
HURDLE,6.42,6.43,IN_AIR,1pt
PASS_THROW,7.09,7.09,FORWARD,1pt
PASS_CATCH,7.44,7.44,LEFT,2
TACKLE_DIVE,7.44,7.44,LEFT,2
PASS_THROW,7.57,7.57,FORWARD,3
PASS_CATCH,7.58,7.58,ON_AIR,3
WALL_MOVE,8.01,8.01,LEFT,3
PASS_THROW,8.19,8.19,FORWARD,2pt
PASS_THROW,8.28,8.28,FORWARD,1
PASS_CATCH,8.3,8.3,ON_AIR,1
WALL_MOVE,8.41,8.41,LEFT,2
WALL_MOVE,8.42,8.42,LEFT,2
WALL_MOVE,8.53,8.53,RIGHT,1
PASS_THROW,8.53,8.53,FORWARD,1
PASS_CATCH,8.54,8.54,ON_GROUND,1
WALL_MOVE,8.57,8.58,RIGHT,1
WALL_MOVE,8.59,8.59,RIGHT,1
WALL_MOVE,9.13,9.13,RIGHT,1
STIFF_ARM,9.44,9.44,RIGHT,1
JUKE,9.46,9.46,RIGHT,1
