Manual Annotation,,,,
LINK - ,https://youtu.be/6bXHpf_THVw?si=reUDFXaTrDHDi6Vi,,,
START ,0.29,Hours Spent -,59 mins,
END ,15.38,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
PASS_THROW,0.41,0.42,FORWARD,1
WALL_MOVE,1.17,1.18,RIGHT,3
TACKLE_BIG_HIT,1.18,1.2,RIGHT,3
TACKLE_DIVE,1.31,1.34,LEFT,2
PASS_THROW,1.45,1.45,FORWARD,2
PASS_THROW,1.58,1.58,FORWARD,3
WALL_MOVE,1.59,1.59,LEFT,3
TACKLE_DIVE,2.1,2.11,LEFT,4
PASS_THROW,2.26,2.26,FORWARD,1
TACKLE_DIVE,2.27,2.27,LEFT,1
TACKLE_BIG_HIT,2.4,2.42,LEFT,2
PASS_THROW,2.53,2.54,FORWARD,3
PASS_CATCH,2.55,2.56,IN_AIR,3
STIFF_ARM,3.09,3.09,RIGHT,1pt
STIFF_ARM,3.1,3.1,RIGHT,1pt
STIFF_ARM,3.23,3.24,RIGHT,1
TACKLE_BIG_HIT,3.26,3.27,LEFT,1
PASS_THROW,4.04,4.05,FORWARD,3
WALL_MOVE,4.06,4.07,LEFT,3
WALL_MOVE,4.21,4.22,RIGHT,1
TACKLE_BIG_HIT,4.23,4.24,RIGHT,1
TACKLE_BIG_HIT,4.37,4.4,LEFT,1
WALL_MOVE,4.54,4.56,RIGHT,2
PASS_THROW,5.06,5.07,FORWARD,2pt
TACKLE_DIVE,5.23,5.24,LEFT,1
PASS_THROW,5.37,5.37,FORWARD,1
WALL_MOVE,5.38,5.39,LEFT,1
PASS_CATCH,5.39,5.39,IN_AIR,1
WALL_MOVE,5.52,5.53,LEFT,1
TACKLE_BIG_HIT,5.54,5.56,LEFT,1
TACKLE_BIG_HIT,6.24,6.27,LEFT,1
TACKLE_BIG_HIT,6.37,6.39,RIGHT,2
PASS_THROW,6.58,6.59,FORWARD,2pt
TACKLE_DIVE,6.59,7.01,LEFT,2pt
PASS_CATCH,6.59,6.59,ON_GROUND,2pt
PASS_THROW,7.48,7.48,FORWARD,2pt
PASS_CATCH,7.48,7.49,ON_GROUND,2pt
PASS_THROW,8.21,8.21,FORWARD,2
TACKLE_BIG_HIT,8.32,8.34,LEFT,1
PASS_THROW,8.53,8.54,FORWARD,3
PASS_CATCH,8.55,8.56,ON_GROUND,3
PASS_THROW,9.1,9.1,FORWARD,2pt
PASS_CATCH,9.11,9.11,ON_GROUND,2pt
TACKLE_DIVE,9.3,9.31,FORWARD,1
PASS_THROW,9.58,9.58,FORWARD,2
PASS_CATCH,9.59,9.59,ON_GROUND,2
STIFF_ARM,10.29,10.3,RIGHT,4
TACKLE_DIVE,10.3,10.31,LEFT,4
PASS_THROW,10.46,10.47,FORWARD,1
WALL_MOVE,11.07,11.09,RIGHT,2
TACKLE_BIG_HIT,11.09,11.11,RIGHT,2
PASS_THROW,11.23,11.24,FORWARD,1
PASS_CATCH,11.24,11.25,ON_GROUND,1
PASS_THROW,11.51,11.51,FORWARD,2pt
PASS_CATCH,11.52,11.52,ON_GROUND,2pt
TACKLE_DIVE,11.52,11.54,LEFT,2pt
WALL_MOVE,12.07,12.07,LEFT,1
WALL_MOVE,12.09,12.1,LEFT,1
TACKLE_WRAP,12.1,12.12,FORWARD,1
PASS_THROW,12.41,12.41,FORWARD,2
PASS_CATCH,12.41,12.41,ON_GROUND,2
PASS_THROW,13.08,13.09,FORWARD,4
PASS_CATCH,13.09,13.1,IN_AIR,4
PASS_THROW,13.22,13.23,FORWARD,1
PASS_CATCH,13.23,13.24,ON_GROUND,1
PASS_THROW,13.35,13.36,FORWARD,2
PASS_CATCH,13.36,13.37,ON_GROUND,2
PASS_THROW,14.06,14.07,FORWARD,1
PASS_THROW,15.06,15.07,FORWARD,4
PASS_CATCH,15.08,15.08,ON_GROUND,4
PASS_THROW,15.28,15.28,FORWARD,1
PASS_CATCH,15.29,15.29,ON_GROUND,1
STIFF_ARM,15.3,15.3,LEFT,1
