start times,
LINK - ,https://youtu.be/mWkvL0-gCfE?si=ZURlGoMk8UyjrlZK
START ,2.34
END ,16.51
,
Timestamps,
2:33,
2:42,
2:54,
3:06,
3:29,
3:47,
3:53,
4:04,
4:16,
4:25,
4:33,
4:46,
4:51,
5:10,
5:24,
5:33,
5:42,
5:51,
6:01,
6:26,
6:49,
6:56,
7:05,
7:12,
7:22,
7:29,
7:37,
7:45,
7:58,
8:20,
8:32,
8:41,
8:54,
9:06,
9:11,
9:26,
9:35,
9:43,
9:49,
9:54,
10:02,
10:10,
10:17,
10:24,
10:29,
10:37,
10:47,
10:55,
11:07,
11:18,
11:26,
11:36,
11:43,
11:58,
12:06,
12:22,
12:43,
12:54,
13:03,
13:13,
13:26,
13:40,
13:50,
14:00,
14:06,
14:14,
14:23,
14:31,
14:40,
14:47,
14:58,
15:05,
15:22,
15:40,
15:50,
16:03,
16:15,
16:22,
16:29,
16:37,
16:44,
