move,TimeSincePlayBegan,Down
WALL_MOVE,4.0,1
PASS_THROW,6.0,1
SPIN,1.0,1
PASS_THROW,2.0,2
WALL_MOVE,3.0,2
SPIN,2.0,1
PASS_THROW,5.0,1
PASS_THROW,3.0,3
SPIN,0.0,2pt
STIFF_ARM,1.0,2pt
WALL_MOVE,5.0,2pt
STIFF_ARM,0.0,2
PASS_THROW,2.0,1
WALL_MOVE,3.0,1
PASS_THROW,3.0,2pt
PASS_THROW,1.0,2
STIFF_ARM,4.0,2
WALL_MOVE,5.0,2
SPIN,5.0,2
JUKE,4.0,1
PASS_THROW,4.0,3
PASS_THROW,2.0,1
SPIN,0.0,2
SPIN,2.0,2pt
PASS_THROW,4.0,2pt
WALL_MOVE,5.0,2pt
SPIN,6.0,1
JUKE,7.0,1
PASS_THROW,8.0,1
SPIN,2.0,2
JUKE,3.0,2
WALL_MOVE,4.0,1
WALL_MOVE,7.0,1
PASS_THROW,2.0,2pt
PASS_THROW,3.0,1
PASS_THROW,6.0,2
PASS_THROW,8.0,3
JUKE,5.0,4
STIFF_ARM,4.0,2
PASS_THROW,5.0,2pt
JUKE,1.0,1
PASS_THROW,9.0,2
PASS_THROW,7.0,4
PASS_THROW,7.0,1
PASS_THROW,5.0,2
HURDLE,7.0,2
JUKE,8.0,1
PASS_THROW,3.0,1
PASS_THROW,3.0,1
PASS_THROW,3.0,2
PASS_THROW,2.0,4
PASS_THROW,3.0,2pt
PASS_THROW,7.0,2
SPIN,2.0,3
PASS_THROW,2.0,4
WALL_MOVE,14.0,1
PASS_THROW,3.0,2
PASS_THROW,9.0,2pt
PASS_THROW,8.0,1
PASS_THROW,6.0,1
JUKE,7.0,1
PASS_THROW,4.0,3
WALL_MOVE,11.0,1
PASS_THROW,5.0,2
PASS_THROW,4.0,2
PASS_THROW,2.0,2
PASS_THROW,7.0,1
STIFF_ARM,8.0,1
PASS_THROW,6.0,2
SPIN,8.0,1pt
SPIN,8.0,2pt
STIFF_ARM,4.0,1
PASS_THROW,4.0,2
STIFF_ARM,2.0,2pt
PASS_THROW,5.0,1
HURDLE,10.0,1
WALL_MOVE,3.0,1
PASS_THROW,4.0,1
PASS_THROW,6.0,2pt
WALL_MOVE,4.0,1
PASS_THROW,2.0,1
STIFF_ARM,5.0,1
WALL_MOVE,6.0,1
STIFF_ARM,1.0,1
WALL_MOVE,5.0,1
PASS_THROW,6.0,1
PASS_THROW,4.0,2
WALL_MOVE,5.0,2
WALL_MOVE,4.0,2pt
